X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8362283.85823671,4886715.19129405,10024,31031567L,Bus,Infodev,310,Loop,31567,Moreland Rd & Park Av,40.142799,-75.119674,Fall 2021,2,38,6,21,0,0
-8362283.85823671,4886715.19129405,10025,31131567L,Bus,Infodev,311,Loop,31567,Moreland Rd & Park Av,40.142799,-75.119674,Fall 2021,0,2,0,12,0,0
-8402846.45429196,4872101.1386494,10026,2041874W,Bus,Infodev,204,Westbound,1874,Paoli Regional Rail Station,40.042369,-75.484054,Fall 2021,38,0,17,0,10,0
-8402846.45429196,4872101.1386494,10027,2041874E,Bus,Infodev,204,Eastbound,1874,Paoli Regional Rail Station,40.042369,-75.484054,Fall 2021,1,20,0,8,0,9
-8419771.35835268,4873201.78941302,10028,2042311E,Bus,Infodev,204,Eastbound,2311,Pottstown Pk & Marchwood Blvd,40.049938,-75.636093,Fall 2021,2,0,1,0,0,0
-8419748.42653758,4873226.65689431,10029,20430655W,Bus,Infodev,204,Westbound,30655,Pottstown Pk & Ship Rd - FS,40.050109,-75.635887,Fall 2021,1,2,0,0,0,0
-8419345.78393938,4871505.4218588,10030,2042312E,Bus,Infodev,204,Eastbound,2312,Pottstown Pk & Sunrise Blvd,40.038272,-75.63227,Fall 2021,0,0,0,0,0,0
-8419331.42372507,4871572.59633313,10031,2042295W,Bus,Infodev,204,Westbound,2295,Pottstown Pk & Sunrise Blvd - FS,40.038734,-75.632141,Fall 2021,0,1,0,0,0,0
-8363970.57116121,4891048.54842472,10032,31116420L,Bus,Infodev,311,Loop,16420,Prudential Rd & Gibralter Rd - FS,40.17255,-75.134826,Fall 2021,0,0,0,0,0,0
-8364154.91623797,4890795.64061736,10033,31116421L,Bus,Infodev,311,Loop,16421,Prudential Rd & Lakeside Dr,40.170814,-75.136482,Fall 2021,0,2,0,0,0,0
-8364252.54343139,4890672.24843038,10034,31132396L,Bus,Infodev,311,Loop,32396,Prudential Rd & Rock Rd,40.169967,-75.137359,Fall 2021,0,2,0,0,0,0
-8418837.94442238,4870843.29782087,10035,20430419W,Bus,Infodev,204,Westbound,30419,Swedesford Rd & Pottstown Pk - MBNS,40.033718,-75.627708,Fall 2021,2,3,0,1,0,0
-8421558.2588189,4874977.71712246,10036,2042298W,Bus,Infodev,204,Westbound,2298,Uwchlan Av & Gordon Dr - FS,40.062149,-75.652145,Fall 2021,0,0,0,0,0,0
-8421576.96049335,4874919.39194634,10037,20430667E,Bus,Infodev,204,Eastbound,30667,Uwchlan Av & Gordon Dr - MBNS,40.061748,-75.652313,Fall 2021,0,0,1,0,0,0
-8422297.97683522,4873929.66167978,10038,20430666E,Bus,Infodev,204,Eastbound,30666,Uwchlan Av & Holmes,40.054943,-75.65879,Fall 2021,4,0,0,0,0,0
-8422032.1458912,4874317.39727933,10039,2042299W,Bus,Infodev,204,Westbound,2299,Uwchlan Av & Marsh Creek Dr,40.057609,-75.656402,Fall 2021,0,0,0,0,0,0
-8421902.23604545,4874496.58104575,10040,20430658W,Bus,Infodev,204,Westbound,30658,Uwchlan Av & Marsh Creek Dr - MBNS,40.058841,-75.655235,Fall 2021,0,0,0,0,0,0
-8422027.91575055,4874292.96338037,10041,2042308E,Bus,Infodev,204,Eastbound,2308,Uwchlan Av & Pottstown Pk - FS,40.057441,-75.656364,Fall 2021,0,0,0,0,0,0
-8422289.51655392,4873966.74751206,10042,20430659W,Bus,Infodev,204,Westbound,30659,Uwchlan Av & Pottstown Pk - MBFS,40.055198,-75.658714,Fall 2021,2,4,0,0,0,0
-8421749.2830651,4874676.34983318,10043,20431798E,Bus,Infodev,204,Eastbound,31798,Uwchlan Av & Sheree Blvd,40.060077,-75.653861,Fall 2021,0,0,1,0,0,0
-8421789.24676229,4874649.73337501,10044,20429221W,Bus,Infodev,204,Westbound,29221,Uwchlan Av & Sheree Blvd - FS,40.059894,-75.65422,Fall 2021,0,0,0,0,0,0
-8365516.35361037,4890059.82640771,10045,31031596L,Bus,Infodev,310,Loop,31596,Village Dr & Dresher Rd - MBFS,40.165763,-75.148712,Fall 2021,0,1,0,0,0,0
-8364672.99714812,4890094.93330566,10046,31020399L,Bus,Infodev,310,Loop,20399,Walnut Grove Drive - culdesac,40.166004,-75.141136,Fall 2021,1,2,0,0,0,0
-8421429.12820958,4874915.46482712,10047,20430657W,Bus,Infodev,204,Westbound,30657,Welsh Pool Rd & Gordon Dr,40.061721,-75.650985,Fall 2021,0,2,0,0,0,0
-8364676.33673284,4888627.3964548,10048,31031493L,Bus,Infodev,310,Loop,31493,Welsh Rd & Blair Mill Rd - MBNS 1,40.155929,-75.141166,Fall 2021,0,1,0,0,0,0
-8364791.88636428,4888711.29145211,10049,31021263L,Bus,Infodev,310,Loop,21263,Welsh Rd & Blair Mill Rd - MBNS 2,40.156505,-75.142204,Fall 2021,7,12,0,11,0,0
-8364526.83465671,4888500.68140175,10050,31016405L,Bus,Infodev,310,Loop,16405,Welsh Rd & Computer Av - FS,40.155059,-75.139823,Fall 2021,0,6,3,6,0,0
-8364422.41697434,4888417.37078014,10051,31029047L,Bus,Infodev,310,Loop,29047,Welsh Rd & Computer Av - MBNS,40.154487,-75.138885,Fall 2021,0,0,0,1,0,0
-8364422.41697434,4888417.37078014,10052,31129047L,Bus,Infodev,311,Loop,29047,Welsh Rd & Computer Av - MBNS,40.154487,-75.138885,Fall 2021,0,2,1,4,0,0
-8364496.33311623,4888454.656566,10053,31029053L,Bus,Infodev,310,Loop,29053,Welsh Rd & Computer Rd,40.154743,-75.139549,Fall 2021,12,2,10,0,0,0
-8365223.3607106,4889039.74138727,10054,31016406L,Bus,Infodev,310,Loop,16406,Welsh Rd & Dryden Rd - MBNS,40.15876,-75.14608,Fall 2021,4,29,3,6,0,0
-8362598.11315922,4886637.42930943,10055,310809L,Bus,Infodev,310,Loop,809,Willow Grove Park Mall,40.142265,-75.122497,Fall 2021,98,48,24,7,0,0
-8362598.11315922,4886637.42930943,10056,311809L,Bus,Infodev,311,Loop,809,Willow Grove Park Mall,40.142265,-75.122497,Fall 2021,38,26,29,13,0,0
-8361663.91999248,4886865.76586331,10057,31020503L,Bus,Infodev,310,Loop,20503,Willow Grove Station,40.143833,-75.114105,Fall 2021,3,1,5,4,0,0
-8361663.91999248,4886865.76586331,10058,31120503L,Bus,Infodev,311,Loop,20503,Willow Grove Station,40.143833,-75.114105,Fall 2021,2,1,0,1,0,0
-8364038.58737009,4889875.99066186,10059,31132415L,Bus,Infodev,311,Loop,32415,Witmer Rd & Blair Mill Rd,40.164501,-75.135437,Fall 2021,1,0,0,0,0,0
-8364172.72735649,4890125.96149766,10060,31132411L,Bus,Infodev,311,Loop,32411,Witmer Rd & Blair Mill Rd - MBFS,40.166217,-75.136642,Fall 2021,1,1,0,0,0,0
