X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS
-8363149.81255559,4864283.04026704,61,319005E,Bus,UTA,3,Eastbound,19005,KENSINGTON AV & HUNTINGDON S,39.988581,-75.127453,Fall 2016,69,47
-8362940.08663494,4864445.7697387,62,325406E,Bus,UTA,3,Eastbound,25406,KENSINGTON AV & LEHIGH AV,39.989701,-75.125569,Fall 2016,41,39
-8362626.27699039,4864672.43309213,63,319006E,Bus,UTA,3,Eastbound,19006,KENSINGTON AV & SOMERSET ST,39.991261,-75.12275,Fall 2016,186,129
-8362366.79125735,4864857.69063903,64,38970E,Bus,UTA,3,Eastbound,8970,KENSINGTON AV & CAMBRIA ST,39.992536,-75.120419,Fall 2016,83,99
-8362145.26547068,4865018.68588832,65,325407E,Bus,UTA,3,Eastbound,25407,KENSINGTON AV & ORLEANS ST,39.993644,-75.118429,Fall 2016,47,47
-8361860.73285221,4865222.2585303,66,317743E,Bus,UTA,3,Eastbound,17743,KENSINGTON AV & CLEARFIELD S,39.995045,-75.115873,Fall 2016,57,93
-8361622.73178089,4865392.85009866,67,321175E,Bus,UTA,3,Eastbound,21175,KENSINGTON AV & ALLEGHENY AV,39.996219,-75.113735,Fall 2016,256,287
-8361330.96339552,4865599.19134889,68,317744E,Bus,UTA,3,Eastbound,17744,KENSINGTON AV & WESTMORELAND,39.997639,-75.111114,Fall 2016,48,43
-8361069.58523114,4865787.95375752,69,317745E,Bus,UTA,3,Eastbound,17745,KENSINGTON AV & ONTARIO ST,39.998938,-75.108766,Fall 2016,46,53
-8360835.36902251,4865957.97378126,70,319007E,Bus,UTA,3,Eastbound,19007,KENSINGTON AV & TIOGA ST,40.000108,-75.106662,Fall 2016,52,70
-8360580.67002758,4866140.78488604,71,317747E,Bus,UTA,3,Eastbound,17747,KENSINGTON AV & VENANGO ST,40.001366,-75.104374,Fall 2016,24,43
-8360305.82220481,4866339.29424027,72,326262E,Bus,UTA,3,Eastbound,26262,KENSINGTON AV & SEDGLEY AV,40.002732,-75.101905,Fall 2016,19,41
-8360037.542232,4866533.01180939,73,325408E,Bus,UTA,3,Eastbound,25408,KENSINGTON AV & CASTOR AV,40.004065,-75.099495,Fall 2016,10,28
-8359714.93834768,4866759.43218664,74,319008E,Bus,UTA,3,Eastbound,19008,KENSINGTON AV & TORRESDALE A,40.005623,-75.096597,Fall 2016,95,186
-8359442.6508732,4866946.61801763,75,325409E,Bus,UTA,3,Eastbound,25409,KENSINGTON AV & HUNTING PARK,40.006911,-75.094151,Fall 2016,44,54
-8359158.56353269,4867147.759524,76,325410E,Bus,UTA,3,Eastbound,25410,KENSINGTON AV & ADAMS AV,40.008295,-75.091599,Fall 2016,9,36
-8358998.04082697,4867268.38825063,77,325411E,Bus,UTA,3,Eastbound,25411,KENSINGTON AV & WOMRATH ST,40.009125,-75.090157,Fall 2016,7,19
-8358863.56688209,4867403.69763996,78,323961E,Bus,UTA,3,Eastbound,23961,FRANKFORD AV & RUAN ST,40.010056,-75.088949,Fall 2016,33,56
-8358774.95656742,4867528.10833107,79,323962E,Bus,UTA,3,Eastbound,23962,FRANKFORD AV & CHURCH ST,40.010912,-75.088153,Fall 2016,23,35
-8358674.10110876,4867706.44273211,80,323963E,Bus,UTA,3,Eastbound,23963,FRANKFORD AV & UNITY ST,40.012139,-75.087247,Fall 2016,57,96
